supplement,alt name,"evidence level - score. 0 = no evidence, 1,2 = slight, 3 = conflicting , 4 = promising, 5 = good, 6 = strong ",Claimed improved aspect of fitness,fitness category,sport or exercise type tested,OTW,popularity,number of studies examined,number of citations,efficacy,notes,exclude,,Cochrane systematic review,Other International review board or metastudy,no. of studies in Cochrane metastudy,no. of studies in metastudy,year(s) of metastudy,No. of individual studies / reviews,N positive studies / trials,% positive studies/ trials,main study source,Link to main individual study,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study
AAKG,L-arginine alpha-ketoglutarate,1,peak power output,strength–power,weight training,OTW,242,1,20,,A 2006 study found AAKG supplementation improved maximum effort 1-repetition bench press and Wingate peak power performance.,,,0,0,0,0,-,1,1,100.00%,Campbell et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/549/CN-00668549/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/549/CN-00668549/frame.html,,,,,,,,,,,,,,,,,,,,
AAKG,L-arginine alpha-ketoglutarate,0,"body composition, aerobic capacity, muscle endurance","fat burning–muscle building, aerobic–endurance",weight training,,242,1,20,,,,,0,0,0,0,-,1,0,0.00%,Campbell et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/549/CN-00668549/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/549/CN-00668549/frame.html,,,,,,,,,,,,,,,,,,,,
Baking soda,"Bicarbonate of soda, sodium bicarbonate, NaHCO3",5,high-intensity performance,anaerobic–high-intensity,"rowing, cycling, swimming, running, other",,947,14,140,,"Gulping down baking soda (sodium bicarbonate) makes the blood more alkaline, improving performance in lactic-acid-fueled events like the 800m sprint. Downside: a badly upset stomach.",,,0,0,0,0,-,14,9,64.29%,Siegler et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/219/CN-00770219/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/778/CN-00759778/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/004/CN-00749004/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/229/CN-00760229/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/219/CN-00770219/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/656/CN-00733656/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/708/CN-00772708/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/130/CN-00762130/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/160/CN-00701160/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/159/CN-00701159/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/622/CN-00572622/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/402/CN-00564402/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/818/CN-00559818/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/017/CN-00559017/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/648/CN-00408648/frame.html,,,,,,,
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",4,fatigue resistance,aerobic–endurance,"cycling, circuit training",,5490,3,660,,Branched-chain amino acids,,,0,0,0,0,-,3,3,100.00%,Greer et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/959/CN-00781959/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/959/CN-00781959/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/239/CN-00787239/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/438/CN-00554438/frame.html,,,,,,,,,,,,,,,,,,
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",3,"aerobic performance, endurance, power","aerobic–endurance, strength–power","cycling, other",,5490,4,660,,Branched-chain amino acids,,,0,0,0,0,-,4,2,50.00%,Matsumoto et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/665/CN-00705665/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/959/CN-00781959/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/665/CN-00705665/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/412/CN-00561412/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/174/CN-00560174/frame.html,,,,,,,,,,,,,,,,,
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",1,immune defences in athletes,general fitness,"running, other",OTW,5490,2,660,,Branched-chain amino acids,,,0,0,0,0,-,2,2,100.00%,Bassit et al (2002),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/021/CN-00389021/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/021/CN-00389021/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/262/CN-00372262/frame.html,,,,,,,,,,,,,,,,,,,
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",0,body composition,fat burning–muscle building,"swimming, rowing",,5490,1,660,,Branched-chain amino acids,,,0,0,0,0,-,1,0,0.00%,Tang (2003),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/245/CN-00474245/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/245/CN-00474245/frame.html,,,,,,,,,,,,,,,,,,,,
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",6,muscle damage + soreness,recovery–injury prevention,"weight training, circuit training, cycling, swimming",,5490,7,660,,Taking branched-chain amino acids before exercise can reduce damage to muscle tissue and soreness caused by training (and overtraining). ,,,0,0,0,0,-,7,7,100.00%,Shimomura et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/776/CN-00759776/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/773/CN-00751773/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/776/CN-00759776/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/009/CN-00629009/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/808/CN-00565808/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/438/CN-00554438/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/613/CN-00442613/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/649/CN-00441649/frame.html,,,,,,,,,,,,,,
Beetroot juice,,4,aerobic efficiency,aerobic–endurance,"running, cycling",,267,4,5,,"The nitrates in beetroot juice improve time to exhaustion and various measures of oxygen consumption during aerobic exercise, also reducing resting blood pressure. Downsides: purple pee.",,,0,0,0,0,-,4,4,100.00%,Lansley et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/843/CN-00800843/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/843/CN-00800843/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/096/CN-00787096/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/367/CN-00760367/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/472/CN-00733472/frame.html,,,,,,,,,,,,,,,,,
Beta alanine,,1,high-intensity performance,"aerobic–endurance, anaerobic–high-intensity","rowing, cycling, running",,920,4,284,,,,,0,0,0,0,-,4,1,25.00%,Walter et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/456/CN-00750456/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/549/CN-00781549/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/456/CN-00750456/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/381/CN-00697381/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/957/CN-00626957/frame.html,,,,,,,,,,,,,,,,,
Beta alanine,,2,"training tolerance, fatigue","recovery–injury prevention, sports psychology","running, other",OTW,920,2,284,,,,,0,0,0,0,-,2,2,100.00%,Hoffman et al (2008a),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/702/CN-00686702/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/702/CN-00686702/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/381/CN-00697381/frame.html,,,,,,,,,,,,,,,,,,,
Beta alanine,,1,"muscular endurance, power","strength–power, anaerobic–high-intensity",weight training,OTW,920,1,284,,,,,0,0,0,0,-,1,1,100.00%,Hoffman et al (2008b),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/829/CN-00686829/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/829/CN-00686829/frame.html,,,,,,,,,,,,,,,,,,,,
Betaine,,1,exercise tolerance in hot conditions,general fitness,running,OTW,1040,1,162,,,,,0,0,0,0,-,1,1,100.00%,Armstrong et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/208/CN-00639208/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/208/CN-00639208/frame.html,,,,,,,,,,,,,,,,,,,,
Betaine,,0,sprint performance,anaerobic–high-intensity,running,,1040,1,162,,,,,0,0,0,0,-,1,0,0.00%,Armstrong et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/208/CN-00639208/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/208/CN-00639208/frame.html,,,,,,,,,,,,,,,,,,,,
Bitter orange,"Citrus aurantium, sour orange, p-synephrine, synephrine, octopamine (active ingredients)",0,weight loss,fat burning–muscle building,other,,406,3,1680,,"Bitter orange may raise resting metabolic rate – burning more calories – and possibly also heart rate and blood pressure. However, commercial preparations normally contain caffeine too and effects can be difficult to untangle.",,,0,1,0,1,2004,2,0,0.00%,Review: Bent et al (2004),http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12004006974/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/cldare/articles/DARE-12004006974/frame.html,http://www.ncbi.nlm.nih.gov/pubmed/15337824,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/539/CN-00577539/frame.html,,,,,,,,,,,,,,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/240/CN-00524240/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/964/CN-00424964/frame.html,
Bovine colostrum,,2,"high intensity performance, endurance",aerobic–endurance,"cycling, running, rowing, other",,165,5,194,,,,,0,0,0,0,-,5,3,60.00%,Shing et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/365/CN-00566365/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/365/CN-00566365/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/579/CN-00409579/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/364/CN-00390364/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/378/CN-00411378/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/427/CN-00412427/frame.html,,,,,,,,,,,,,,,,
Bovine colostrum,,1,immune defences in athletes,general fitness,"swimming, cycling",,165,3,194,,,,,0,0,0,0,-,3,1,33.33%,Carol et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/582/CN-00788582/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/582/CN-00788582/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/582/CN-00788582/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/165/CN-00586165/frame.html,,,,,,,,,,,,,,,,,,
Bovine colostrum,,1,muscle gain,fat burning–muscle building,weight training,OTW,165,1,194,,,,,0,0,0,0,-,1,1,100.00%,Antonio et al (2001),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/368/CN-00347368/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/368/CN-00347368/frame.html,,,,,,,,,,,,,,,,,,,,
Bovine colostrum,,1,"strength, power, sprint performance","strength–power, anaerobic–high-intensity","weight training, cycling, other",,165,3,194,,,,,0,0,0,0,-,3,2,66.67%,Mero et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/462/CN-00551462/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/462/CN-00551462/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/068/CN-00439068/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/427/CN-00412427/frame.html,,,,,,,,,,,,,,,,,,
Caffeine,,4,intense aerobic performance,aerobic–endurance,"cycling, rowing",,7250,7,409,,,,,0,0,0,0,-,7,5,71.43%,Jenkins et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/134/CN-00649134/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/753/CN-00741753/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/134/CN-00649134/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/214/CN-00667214/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/711/CN-00501711/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/180/CN-00426180/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/581/CN-00372581/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/600/CN-00346600/frame.html,,,,,,,,,,,,,,
Caffeine,,5,endurance performance,aerobic–endurance,"cycling, running",,7250,15,409,,,,,0,0,0,0,-,15,10,66.67%,Irwin et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/557/CN-00787557/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/557/CN-00787557/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/769/CN-00769769/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/515/CN-00733515/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/429/CN-00785429/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/856/CN-00697856/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/878/CN-00684878/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/808/CN-00562808/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/308/CN-00529308/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/587/CN-00512587/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/642/CN-00504642/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/753/CN-00435753/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/305/CN-00457305/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/426/CN-00412426/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/977/CN-00425977/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/044/CN-00410044/frame.html,,,,,,
Caffeine,,3,"skill, agility + speed",sports psychology,"football, cycling, running, other",,7250,6,409,,"Caffeine may improve footballers' passing accuracy, but reaction time and coordination tests show negligible benefit over placebo. One study found caffeined-up soldiers fired more shots more quickly, but were no better at telling the enemy apart.",,,0,0,0,0,-,6,3,50.00%,Lorino et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/725/CN-00574725/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/486/CN-00722486/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/916/CN-00668916/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/270/CN-00683270/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/725/CN-00574725/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/308/CN-00529308/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/314/CN-00560314/frame.html,,,,,,,,,,,,,,,
Caffeine,,4,performance when sleep-deprived,sports psychology,other,,7250,3,409,,"Sleep-deprived soldiers given caffeine showed better performance in obstacle running, marksmanship, vigilance tests and simulated driving tasks than those who went without.",,,0,0,0,0,-,3,3,100.00%,McLellan et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/196/CN-00612196/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/196/CN-00612196/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/453/CN-00511453/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/938/CN-00371938/frame.html,,,,,,,,,,,,,,,,,,
Caffeine,,6,mood during exercise,sports psychology,"weight training, cycling, other",,7250,11,409,,"Old news: caffeine boosts mood and reduces perceived exertion during exercise, keeping you motivated. Downsides: anxiety and palpitations at high doses or in the caffeine-sensitive.",,,0,0,0,0,-,11,9,81.82%,Backhouse et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/805/CN-00799805/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/805/CN-00799805/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/502/CN-00778502/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/384/CN-00780384/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/435/CN-00697435/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/437/CN-00639437/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/287/CN-00588287/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/659/CN-00578659/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/002/CN-00571002/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/711/CN-00501711/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/884/CN-00559884/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/975/CN-00458975/frame.html,,,,,,,,,,
